,Unnamed: 0,precision,recall,f1-score,support,name
0,0,0.969538729329852,0.9191419141914192,0.9436679373146972,2424.0,is_sus_report_cb
1,1,0.8849089841456254,0.9556119213696892,0.9189024390243902,1577.0,is_sus_report_cb
2,accuracy,0.9335166208447888,0.9335166208447888,0.9335166208447888,0.9335166208447888,is_sus_report_cb
3,macro avg,0.9272238567377388,0.9373769177805542,0.9312851881695436,4001.0,is_sus_report_cb
4,weighted avg,0.9361817915254218,0.9335166208447888,0.933906579953084,4001.0,is_sus_report_cb
0,0,0.5954861111111112,0.3032714412024757,0.401874633860574,1131.0,is_fake_title_report_cb
1,1,0.8061023622047244,0.9335993160444572,0.865178925128747,3509.0,is_fake_title_report_cb
2,accuracy,0.7799568965517242,0.7799568965517242,0.7799568965517242,0.7799568965517242,is_fake_title_report_cb
3,macro avg,0.7007942366579178,0.6184353786234664,0.6335267794946605,4640.0,is_fake_title_report_cb
4,weighted avg,0.7547646510006562,0.7799568965517242,0.7522485041321298,4640.0,is_fake_title_report_cb
0,0,0.8716794890404993,0.9058681550761803,0.8884450362479657,6629.0,trfl_report_xgb
1,1,0.8923766816143498,0.8540772532188842,0.8728070175438597,6058.0,trfl_report_xgb
2,accuracy,0.8811381729329235,0.8811381729329235,0.8811381729329235,0.8811381729329235,trfl_report_xgb
3,macro avg,0.8820280853274245,0.8799727041475323,0.8806260268959127,12687.0,trfl_report_xgb
4,weighted avg,0.8815623291612832,0.8811381729329235,0.8809779347023304,12687.0,trfl_report_xgb
0,0,0.8740729969463429,0.9067732689696788,0.8901229083370353,6629.0,trfl_report_cb
1,1,0.893631669535284,0.8570485308682734,0.8749578699022582,6058.0,trfl_report_cb
2,accuracy,0.8830298730984473,0.8830298730984473,0.8830298730984473,0.8830298730984473,trfl_report_cb
3,macro avg,0.8838523332408135,0.881910899918976,0.8825403891196468,12687.0,trfl_report_cb
4,weighted avg,0.8834121975882444,0.8830298730984473,0.8828816532855748,12687.0,trfl_report_cb
0,0,0.9366377927494386,0.9021940667490728,0.9190933417283174,6472.0,is_toxic_report_cb
1,1,0.8762463343108504,0.9190075866311256,0.8971176941553243,4877.0,is_toxic_report_cb
2,accuracy,0.9094193320997443,0.9094193320997443,0.9094193320997443,0.9094193320997443,is_toxic_report_cb
3,macro avg,0.9064420635301444,0.9106008266900992,0.9081055179418208,11349.0,is_toxic_report_cb
4,weighted avg,0.9106858020185375,0.9094193320997443,0.9096497578695204,11349.0,is_toxic_report_cb
0,0,0.941594062600839,0.9017305315203956,0.9212312549329124,6472.0,is_toxic_report_xgb
1,1,0.8765288293535236,0.9257740414189052,0.9004786597526925,4877.0,is_toxic_report_xgb
2,accuracy,0.9120627368050048,0.9120627368050048,0.9120627368050048,0.9120627368050048,is_toxic_report_xgb
3,macro avg,0.9090614459771812,0.9137522864696505,0.9108549573428024,11349.0,is_toxic_report_xgb
4,weighted avg,0.9136336129976004,0.9120627368050048,0.9123132527570438,11349.0,is_toxic_report_xgb
0,0,0.9661876584953508,0.943069306930693,0.9544885177453026,2424.0,is_sus_report_xgb
1,1,0.9155963302752294,0.9492707672796448,0.9321295143212952,1577.0,is_sus_report_xgb
2,accuracy,0.9455136215946014,0.9455136215946014,0.9455136215946014,0.9455136215946014,is_sus_report_xgb
3,macro avg,0.94089199438529,0.9461700371051688,0.9433090160332988,4001.0,is_sus_report_xgb
4,weighted avg,0.9462470125060652,0.9455136215946014,0.9456756838538606,4001.0,is_sus_report_xgb
0,0,0.659877800407332,0.2864721485411141,0.3995067817509247,1131.0,is_fake_title_report_xgb
1,1,0.8054953000723066,0.9524080934739242,0.8728127448419953,3509.0,is_fake_title_report_xgb
2,accuracy,0.7900862068965517,0.7900862068965517,0.7900862068965517,0.7900862068965517,is_fake_title_report_xgb
3,macro avg,0.7326865502398193,0.6194401210075191,0.6361597632964601,4640.0,is_fake_title_report_xgb
4,weighted avg,0.7700010345289692,0.7900862068965517,0.7574444163385469,4640.0,is_fake_title_report_xgb
